LGA,prevalence,burden,recommended_mix,scenario,bau_cases_24m,scenario_cases_24m,cases_averted_24m,cases_averted_low_24m,cases_averted_high_24m,percent_averted,target_coverage_CM,target_coverage_IPTp,target_coverage_Dual AI,target_coverage_PMC,target_coverage_Vac,target_coverage_LSM,target_coverage_Pyr,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,programme_cost_ngn,treatment_savings_ngn,net_cost_ngn,net_cost_per_case_averted_ngn,net_monetary_benefit_ngn
Umuahia North,3.66,Low,CM + IPTp + Dual AI + PMC,BAU,97769.27677518417,97769.27677518417,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Umuahia North,3.66,Low,CM + IPTp + Dual AI + PMC,Scenario 1,97769.27677518417,93277.58514751005,4491.691627674149,341.4239949457759,160971.33096752502,4.594174955392767,0.65,0.55,0.5,0.45,,,,305938.74443060806,63641.17218772074,242297.57224288734,458908116.6459121,95461758.2815811,363446358.364331,80915.25164485253,310307385.7867913
Umuahia North,3.66,Low,CM + IPTp + Dual AI + PMC,Scenario 2,97769.27677518417,88732.24294809569,9037.033827088493,697.2370386779589,320309.136897487,9.243224584619485,0.75,0.65,0.6,0.6,,,,613466.9131440162,128042.50013792767,485424.41300608846,920200369.7160243,192063750.2068915,728136619.5091327,80572.5234010461,627418454.5541412
Umuahia North,3.66,Low,CM + IPTp + Dual AI + PMC,Target,97769.27677518417,83191.8429801534,14577.433795030789,1108.9878403708926,523824.9622344011,14.910035417926748,0.85,0.75,0.75,0.75,,,,1017510.3912888397,206542.4457210659,810967.9455677738,1526265586.9332597,309813668.5815988,1216451918.3516607,83447.60370418074,970163150.9029574
Umuahia North,3.66,Low,CM + IPTp + Dual AI + PMC,High,97769.27677518417,79490.46067150412,18278.81610368006,1369.7026684945818,664696.5454606302,18.695869200005777,0.9,0.85,0.85,0.85,,,,1271382.6527722802,258986.0078271554,1012396.6449451247,1907073979.1584203,388479011.7407331,1518594967.4176872,83079.50355230882,1223227448.134322
Umuahia North,3.66,Low,CM + IPTp + Dual AI + PMC,Maximum,97769.27677518417,77526.8683572228,20242.408417961367,1511.0850086059181,739261.8850046031,20.70426322627693,0.95,0.9,0.9,0.9,,,,1424352.0249875842,286807.4450357401,1137544.5799518442,2136528037.4813764,430211167.55361015,1706316869.9277663,84294.1627644331,1330044392.766439
Umuahia South,4.06,Low,CM + IPTp + Dual AI + PMC,BAU,346246.6677897536,346246.6677897536,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Umuahia South,4.06,Low,CM + IPTp + Dual AI + PMC,Scenario 1,346246.6677897536,329169.74875337863,17076.91903637495,679.5076396269081,1202514.1217202893,4.932009640810269,0.65,0.55,0.5,0.45,,,,527075.9654760449,241956.75814736637,285119.20732867863,790613948.2140673,362935137.22104955,427678810.993018,25044.26062347864,2133859044.4632246
Umuahia South,4.06,Low,CM + IPTp + Dual AI + PMC,Scenario 2,346246.6677897536,311964.8129657867,34281.85482396682,1354.7752287031794,2430100.5232873815,9.90099198435703,0.75,0.65,0.6,0.6,,,,1055142.4912789676,485727.33985664265,569415.1514223248,1582713736.9184513,728591009.784964,854122727.1334872,24914.717465531085,4288155496.461536
Umuahia South,4.06,Low,CM + IPTp + Dual AI + PMC,Target,346246.6677897536,290934.70646247524,55311.961327278266,2164.4710207963435,3990933.997715486,15.974727404702293,0.85,0.75,0.75,0.75,,,,1643357.7914696455,783695.3973380016,859662.3941316438,2465036687.2044683,1175543096.0070024,1289493591.1974657,23313.105524636758,7007300607.894274
Umuahia South,4.06,Low,CM + IPTp + Dual AI + PMC,High,346246.6677897536,276917.21182164794,69329.45596810558,2692.87286591091,5041046.724712687,20.023140268949398,0.9,0.85,0.85,0.85,,,,1969778.9736727858,982304.2654492969,987474.7082234889,2954668460.5091786,1473456398.1739454,1481212062.3352332,21364.830311327583,8918206332.880604
Umuahia South,4.06,Low,CM + IPTp + Dual AI + PMC,Maximum,346246.6677897536,269478.92577558727,76767.7420141663,2983.695510405132,5597568.861910267,22.171402400551298,0.95,0.9,0.9,0.9,,,,2233316.956410808,1087694.6800811207,1145622.2763296873,3349975434.616212,1631542020.121681,1718433414.494531,22384.83729503755,9796727887.630413
Umu Neochi,7.83,Low,CM + IPTp + Dual AI + PMC,BAU,316360.7554361473,316360.7554361473,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Umu Neochi,7.83,Low,CM + IPTp + Dual AI + PMC,Scenario 1,316360.7554361473,300245.53435852577,16115.221077621514,100.0357099577702,12746477.894310337,5.093938107273907,0.65,0.55,0.5,0.45,,,,530294.3417070026,228330.80372776187,301963.53797924076,795441512.560504,342496205.5916428,452945306.96886116,28106.6765877538,1964337854.674366
Umu Neochi,7.83,Low,CM + IPTp + Dual AI + PMC,Scenario 2,316360.7554361473,284181.13300295256,32179.622433194727,200.7139645476789,25471701.094726,10.171812363019125,0.75,0.65,0.6,0.6,,,,1061750.6149343008,455941.560989849,605809.0539444519,1592625922.401451,683912341.4847735,908713580.9166778,28238.78940168356,3918229784.062531
Umu Neochi,7.83,Low,CM + IPTp + Dual AI + PMC,Target,316360.7554361473,264427.19335473,51933.56208141728,321.40232841404736,41765654.31030063,16.41593060739144,0.85,0.75,0.75,0.75,,,,1663762.8813944946,735828.0667314173,927934.8146630774,2495644322.091742,1103742100.097126,1391902221.994616,26801.59354007921,6398132090.217976
Umu Neochi,7.83,Low,CM + IPTp + Dual AI + PMC,High,316360.7554361473,251178.62966341004,65182.12577273726,401.5978242016887,52909929.40363098,20.603733128299886,0.9,0.85,0.85,0.85,,,,2002673.447312328,923542.2272326526,1079131.2200796755,3004010170.968492,1385313340.848979,1618696830.1195133,24833.44645375989,8158622035.791076
Umu Neochi,7.83,Low,CM + IPTp + Dual AI + PMC,Maximum,316360.7554361473,244139.74844480056,72221.00699134675,445.8283920874952,58817854.09355714,22.828687108102283,0.95,0.9,0.9,0.9,,,,2267820.618165829,1023273.6177142385,1244547.0004515906,3401730927.248744,1534910426.5713577,1866820500.677386,25848.718793149223,8966330548.024626
