LGA,prevalence,burden,recommended_mix,scenario,bau_cases_24m,scenario_cases_24m,cases_averted_24m,cases_averted_low_24m,cases_averted_high_24m,percent_averted,target_coverage_CM,target_coverage_IPTp,target_coverage_Dual AI,target_coverage_PMC,target_coverage_Vac,target_coverage_LSM,target_coverage_Pyr,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,programme_cost_ngn,treatment_savings_ngn,net_cost_ngn,net_cost_per_case_averted_ngn,net_monetary_benefit_ngn
Isuikwato,6.07,Low,CM + IPTp + Dual AI + PMC + LSM,Scenario 1,227168.16596322536,203322.6707237328,23845.49523949256,940.3530270029498,1719968.3611775702,10.496847187361956,0.65,0.55,0.5,0.45,,0.25,,415494.47951219196,337858.29354091914,77636.18597127282,623241719.2682879,506787440.3113787,116454278.95690922,4883.701419798544,3460370006.9669747
Isuikwato,6.07,Low,CM + IPTp + Dual AI + PMC + LSM,Scenario 2,227168.16596322536,180829.03870050513,46339.127262720234,1821.7042764862315,3370289.235657431,20.39860077499668,0.75,0.65,0.6,0.6,,0.4,,831813.7594840864,656562.5206738758,175251.23881021063,1247720639.2261295,984843781.0108137,262876858.21531594,5672.891867922597,6687992231.192719
Isuikwato,6.07,Low,CM + IPTp + Dual AI + PMC + LSM,Target,227168.16596322536,157585.0807504278,69583.08521279754,2678.4264677975134,5197205.9927718695,30.63064972935594,0.85,0.75,0.75,0.75,,0.55,,1298218.9144362642,985897.8475050713,312321.0669311929,1947328371.6543963,1478846771.257607,468481600.3967893,6732.693713768062,9968981181.52284
Isuikwato,6.07,Low,CM + IPTp + Dual AI + PMC + LSM,High,227168.16596322536,139867.53830069254,87300.62766253282,3293.0573553958166,6635078.441530377,38.42995663250866,0.9,0.85,0.85,0.85,,0.7,,1572746.7723003111,1236931.3696729147,335815.4026273964,2359120158.4504666,1855397054.509372,503723103.9410946,5769.982615569207,12591371045.438828
Isuikwato,6.07,Low,CM + IPTp + Dual AI + PMC + LSM,Maximum,227168.16596322536,129690.04203969188,97478.12392353348,3641.393666152516,7468705.341612138,42.91011617328175,0.95,0.9,0.9,0.9,,0.8,,1785299.9920496892,1381132.6741426114,404167.31790707784,2677949988.074534,2071699011.2139173,606250976.8606168,6219.354173621449,14015467611.669405
Obi Nwa,12.87,Moderate,CM + IPTp + Dual AI + PMC + Vac,BAU,105309.81705212174,105309.81705212174,0.0,0.0,0.0,0.0,0.55,0.45,0.4,0.35,0.25,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Obi Nwa,12.87,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 1,105309.81705212174,99330.09956956876,5979.717482552975,1472.1982672402983,26634.774482234832,5.678214671661038,0.65,0.55,0.5,0.45,0.35,,,330526.5426556347,84724.47832268807,245802.06433294664,495789813.983452,127086717.48403211,368703096.49942,61658.94920206268,528254525.88352615
Obi Nwa,12.87,Moderate,CM + IPTp + Dual AI + PMC + Vac,Scenario 2,105309.81705212174,93132.39748164084,12177.419570480903,2981.0584168791447,54207.79295106961,11.563422966022099,0.75,0.65,0.6,0.6,0.5,,,683150.4295246858,172537.50255522152,510612.9269694643,1024725644.2870288,258806253.83283228,765919390.4541965,62896.69055263974,1060693545.117939
Obi Nwa,12.87,Moderate,CM + IPTp + Dual AI + PMC + Vac,Target,105309.81705212174,85953.48956986304,19356.327482258697,4609.6624967838925,88194.54314919612,18.380363791419875,0.85,0.75,0.75,0.75,0.65,,,1114451.3079010157,274252.8811707869,840198.4267302289,1671676961.8515236,411379321.7561804,1260297640.0953434,65110.36978737243,1643151482.2434614
Obi Nwa,12.87,Moderate,CM + IPTp + Dual AI + PMC + Vac,High,105309.81705212174,81252.96224274265,24056.854809379092,5627.404960301421,111058.9430881291,22.84388624231724,0.9,0.85,0.85,0.85,0.75,,,1382769.7793215916,340852.97169241915,1041916.8076291725,2074154668.9823873,511279457.5386287,1562875211.4437587,64965.89948385263,2045653009.963105
