LGA,scenario,incremental_net_cost_ngn,incremental_cases_averted,incremental_cost_per_case_averted_ngn
Umu Neochi,Maximum,248123670.55787277,7038.881218609487,35250.44149088354
Umuahia North,BAU,0.0,0.0,
Umuahia North,Scenario 1,363446358.364331,4491.691627674149,80915.25164485253
Umuahia North,Scenario 2,364690261.14480174,4545.342199414345,80233.84052179639
Umuahia North,Target,488315298.842528,5540.399967942296,88137.19256154863
Umuahia North,High,302143049.06602645,3701.3823086492703,81629.78689339611
Umuahia North,Maximum,187721902.51007915,1963.592314281308,95601.2615983308
Umuahia South,BAU,0.0,0.0,
Umuahia South,Scenario 1,427678810.993018,17076.91903637495,25044.26062347864
Umuahia South,Scenario 2,426443916.14046925,17204.935787591872,24786.138199249708
Umuahia South,Target,435370864.06397843,21030.106503311443,20702.2662484103
Umuahia South,High,191718471.13776755,14017.494640827317,13677.085388666306
Umuahia South,Maximum,237221352.1592977,7438.286046060719,31891.93729446974
