date,periodname,PW,Under_5yrs,Above_5yrs,Total_incidence_cases,LGA,date_alignment,total_check
2026-01-01,0,2042,729,1997,4768,Umuahia North,Direct monthly mapping: Jan 2021--Apr 2026,True
2026-02-01,0,1451,470,1428,3349,Umuahia North,Direct monthly mapping: Jan 2021--Apr 2026,True
2026-03-01,0,1991,702,1939,4632,Umuahia North,Direct monthly mapping: Jan 2021--Apr 2026,True
2026-04-01,0,1866,521,1811,4198,Umuahia North,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-01-01,0,0,11,24,35,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-02-01,0,45,18,33,96,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-03-01,0,86,25,46,157,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-04-01,0,47,35,35,117,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-05-01,0,58,27,36,121,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-06-01,0,68,12,37,117,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-07-01,0,109,50,85,244,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-08-01,0,42,12,31,85,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-09-01,0,134,35,108,277,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-10-01,0,107,59,89,255,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-11-01,0,80,44,68,192,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2021-12-01,0,78,36,67,181,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-01-01,0,63,20,52,135,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-02-01,0,71,38,59,168,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-03-01,0,71,53,54,178,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-04-01,0,80,32,58,170,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-05-01,0,89,37,50,176,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-06-01,0,139,61,114,314,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-07-01,0,123,68,85,276,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-08-01,0,164,56,107,327,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-09-01,0,127,72,99,298,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-10-01,0,125,85,97,307,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-11-01,0,114,70,87,271,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2022-12-01,0,109,42,82,233,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-01-01,0,87,39,55,181,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-02-01,0,80,43,48,171,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-03-01,0,68,55,53,176,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-04-01,0,107,52,75,234,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-05-01,0,58,17,42,117,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-06-01,0,138,37,108,283,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-07-01,0,142,67,88,297,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-08-01,0,157,90,122,369,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-09-01,0,173,56,111,340,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-10-01,0,123,68,82,273,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-11-01,0,137,64,97,298,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2023-12-01,0,132,57,89,278,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-01-01,0,152,68,105,325,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-02-01,0,167,71,130,368,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-03-01,0,114,84,82,280,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-04-01,0,135,70,113,318,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-05-01,0,145,59,113,317,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-06-01,0,529,135,479,1143,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-07-01,0,692,163,650,1505,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-08-01,0,826,146,780,1752,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-09-01,0,669,152,631,1452,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-10-01,0,518,135,483,1136,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-11-01,0,1081,216,1033,2330,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2024-12-01,0,1097,201,1058,2356,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2025-01-01,0,572,184,538,1294,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2025-02-01,0,523,168,504,1195,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2025-03-01,0,417,130,396,943,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
2025-04-01,0,882,196,853,1931,Umuahia South,Direct monthly mapping: Jan 2021--Apr 2026,True
